Product Name,Description,Price,Currency,Category,Product Type,Image URL
Notion Productivity OS — All-in-One Life Dashboard,Complete Notion template for managing tasks; goals; habits; finances; and notes. Includes video walkthrough and lifetime updates.,17.99,USD,Template,Digital,https://media.base44.com/images/public/6a1e2efdc14fbb292286fb2f/1789d7b79_generated_image.png
Freelancer Starter Kit — Contracts; Invoices & Proposals,Complete legal and business templates for freelancers. Includes contracts; proposals; invoices; and pricing calculators. Editable in Google Docs and Word.,11.99,USD,Template,Digital,
Complete Digital Marketing Masterclass 2026,12-hour video course covering SEO; social media ads; email marketing; and content strategy. Includes templates; checklists; and private community access.,49.99,USD,Course,Digital,https://media.base44.com/images/public/6a1e2efdc14fbb292286fb2f/b0144003d_generated_image.png
AI Image Generation Mastery — Midjourney & DALL-E Guide,Complete guide to creating stunning AI art with Midjourney and DALL-E. 200+ prompt formulas; style cheat sheets; and commercial use tips.,12.99,USD,Ebook,Digital,
Ultimate Canva Business Template Bundle — 200 Slides,200 professionally designed Canva templates for business presentations; social media posts; and marketing materials. Fully editable; royalty-free license.,19.99,USD,Template,Digital,https://media.base44.com/images/public/6a1e2efdc14fbb292286fb2f/b2640a497_generated_image.png
Digital Marketing Course — Zero to Hero 2026,Complete 12-hour video course covering SEO; social media marketing; email marketing; paid ads; content strategy; and analytics. Includes templates and checklists.,49.99,USD,Course,Digital,
Viral TikTok Hooks Formula — 200 Proven Hooks,200 proven TikTok hooks that generate millions of views. Organized by niche: business; fitness; comedy; education; food. Includes script templates and posting strategy.,12.99,USD,Ebook,Digital,
Email Marketing Playbook — 50 Templates That Convert,50 proven email templates for welcome sequences; abandoned carts; newsletters; and launches. Works with Mailchimp; ConvertKit; and Klaviyo. Copy-paste ready.,16.99,USD,Ebook,Digital,
Resume Builder Pro — 50 ATS-Ready Templates,Professional resume templates designed to pass ATS screening systems. Includes Word; Google Docs; and PDF formats. Cover letter templates included. Nigerian and international formats.,14.99,USD,Template,Digital,
Nigerian Recipe eBook — 100 Traditional Dishes,Complete guide to cooking 100 authentic Nigerian dishes. Jollof; Suya; Egusi; Pounded Yam; Suya; Moimoi and more. Step-by-step photos; ingredient lists; and video links.,9.99,USD,Ebook,Digital,
Instagram Reels Editing Pack — 200 Transitions & Effects,200 trending transitions; effects; and templates for Premiere Pro and CapCut. Create viral reels in minutes. Step-by-step tutorial included.,22.99,USD,Template,Digital,
500 ChatGPT Prompts for Business Growth & Marketing,Boost your business with 500 proven AI prompts for marketing; sales; content creation; and strategy. Categorized and ready to copy-paste.,14.99,USD,AIPrompt,Digital,https://media.base44.com/images/public/6a1e2efdc14fbb292286fb2f/09407a3f5_generated_image.png
